meteorite_name,id,recclass,mass (g),fall,year,reclat,reclong,geometry,continent,country
Frontier Mountain 10102,54882,LL3,1.3,Found,2011,-72.95137,160.46503,POINT (160.46503 -72.95137),Antarctica,Antarctica
Frontier Mountain 10103,54818,H6,1.5,Found,2011,-72.95158,160.46172,POINT (160.46172 -72.95158),Antarctica,Antarctica
Frontier Mountain 10104,54819,H4,0.6,Found,2011,-72.95193,160.4563,POINT (160.4563 -72.95193),Antarctica,Antarctica
Frontier Mountain 10105,54820,L6,4.4,Found,2011,-72.9543,160.42857,POINT (160.42857 -72.9543),Antarctica,Antarctica
Frontier Mountain 10107,54821,H5,1.8,Found,2011,-72.95305,160.45358,POINT (160.45358 -72.95305),Antarctica,Antarctica
Frontier Mountain 10109,54822,H5,2.4,Found,2011,-72.95293,160.45298,POINT (160.45298 -72.95293),Antarctica,Antarctica
Frontier Mountain 84001,10363,L6,942,Found,1984,-72.95488,160.47328,POINT (160.47328 -72.95488),Antarctica,Antarctica
Frontier Mountain 90001,10400,H6,76.09999999999998,Found,1991,-72.95725,160.47038,POINT (160.47038 -72.95725),Antarctica,Antarctica
Frontier Mountain 90002,10401,H5/6,22.1,Found,1991,-72.95502,160.48016,POINT (160.48016 -72.95502),Antarctica,Antarctica
Frontier Mountain 90003,10402,H3.6,26.1,Found,1991,-72.95502,160.43827,POINT (160.43827 -72.95502),Antarctica,Antarctica
Frontier Mountain 90004,10403,L6,1.4,Found,1991,-72.95498,160.49178,POINT (160.49178 -72.95498),Antarctica,Antarctica
Frontier Mountain 90005,10404,H4,18.2,Found,1991,-72.95551,160.44071,POINT (160.44071 -72.95551),Antarctica,Antarctica
Frontier Mountain 90006,10405,L/LL3,18.3,Found,1990,-72.97296,160.48444,POINT (160.48444 -72.97296),Antarctica,Antarctica
Frontier Mountain 90007,10406,H5/6,5.9,Found,1990,-72.95341,160.52175,POINT (160.52175 -72.95341),Antarctica,Antarctica
Frontier Mountain 90009,10408,L7,4.9,Found,1990,-72.95381,160.50646,POINT (160.50646 -72.95381),Antarctica,Antarctica
Frontier Mountain 90010,10409,H5,5.5,Found,1990,-72.95404,160.52236,POINT (160.52236 -72.95404),Antarctica,Antarctica
Frontier Mountain 90014,10412,H6,7.2,Found,1991,-72.95489,160.44163,POINT (160.44163 -72.95489),Antarctica,Antarctica
Frontier Mountain 90015,10413,H4-5,11.7,Found,1991,-72.95533,160.43857,POINT (160.43857 -72.95533),Antarctica,Antarctica
Frontier Mountain 90016,10414,H6,3.6,Found,1990,-72.954,160.50405,POINT (160.50405 -72.954),Antarctica,Antarctica
Frontier Mountain 90020,10418,L7,0.8,Found,1990,-72.95556,160.44775,POINT (160.44775 -72.95556),Antarctica,Antarctica
Frontier Mountain 90025,10423,H6,11.8,Found,1990,-72.95404,160.50371,POINT (160.50371 -72.95404),Antarctica,Antarctica
Frontier Mountain 90026,10424,H5,5.5,Found,1990,-72.95413,160.50524,POINT (160.50524 -72.95413),Antarctica,Antarctica
Frontier Mountain 90028,10426,L(?)3,18.8,Found,1990,-72.95359,160.50952,POINT (160.50952 -72.95359),Antarctica,Antarctica
Frontier Mountain 90029,10427,H4,16.5,Found,1990,-72.9535,160.51411,POINT (160.51411 -72.9535),Antarctica,Antarctica
Frontier Mountain 90030,10428,H4,7.2,Found,1990,-72.95315,160.52359,POINT (160.52359 -72.95315),Antarctica,Antarctica
Frontier Mountain 90031,10429,H4,8.4,Found,1990,-72.95261,160.5268,POINT (160.5268 -72.95261),Antarctica,Antarctica
